"Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","90s","Gls","Ast","G-PK","PK","PKatt","CrdY","CrdR","G+A","G+A-PK","xG","npxG","xA","npxG+xA","xG+xA","Sh","SoT","Sh/90","SoT/90","FK","G-xG","np:G-xG","Cmp","Att","Cmp%","TotDist","PrgDist","Cmp.1","A-xA","KP","1/3","PPA","CrsPA","Prog","Live","Dead","TB","Press","Sw","Crs","CK","In","Out","Str","Ground","Low","High","Left","Right","Head","TI","Other","Off","Int","Blocks","SCA","SCA90","PassLive","PassDead","Drib","Fld","Def","GCA","GCA90","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Past","Succ","ShSv","Pass","Tkl+Int","Clr","Err","Touches","Def Pen","Att Pen","#Pl","Megs","Carries","CPA","Mis","Dis","Targ","Rec","Rec%","Prog.1","Mn/MP","Min%","Subs","unSub","PPM","onG","onGA","+/-","+/-90","onxG","onxGA","xG+/-","xG+/-90","2CrdY","Fls","PKwon","PKcon","OG","Recov","Won","Lost"
"Aaron Connolly","ie IRL","FW","Brighton","eng Premier League","21","2000","1","0","45","0.5","0","0","0","0","0","0","0","0.00","0.00","0.4","0.4","0.0","0.4","0.85","1","0","2.00","0.00","0","-0.4","-0.4","2","3","66.7","14","0","2","0.0","0","0","0","0","0","3","0","0","1","0","1","0","0","0","0","2","1","0","0","2","0","0","1","0","0","0","1","2.00","1","0","0","0","0","0","0.00","0","0","0","0","0","0","1","0","0","0","0","0","8","0","2","0","0","5","0","0","1","20","4","20.0","2","45","16.7","1","1","3.00","0","0","0","0.00","1.0","0.7","+0.3","+0.68","0","0","0","0","0","3","0","2"
"Aaron Cresswell","eng ENG","DF","West Ham","eng Premier League","31","1989","3","3","270","3.0","1","0","1","0","0","0","0","0.33","0.33","0.1","0.1","0.1","0.2","0.07","3","1","1.00","0.33","1","+0.9","+0.9","177","217","81.6","3219","1104","71","-0.1","2","13","2","0","18","175","42","0","16","5","4","5","0","5","0","134","48","35","161","19","2","31","1","1","3","8","5","1.67","4","1","0","0","0","1","0.33","8","4","7","1","0","0","10","0","2","10","5","0","244","8","6","0","0","135","0","0","2","162","157","96.9","4","90","100.0","0","0","2.33","10","5","+5","+1.67","6.0","2.9","+3.1","+1.03","0","0","0","0","0","23","4","3"
"Aaron Hickey","sct SCO","DF","Bologna","it Serie A","19","2002","2","2","135","1.5","0","0","0","0","0","1","0","0.00","0.00","0.1","0.1","0.0","0.1","0.05","2","1","1.33","0.67","0","-0.1","-0.1","48","59","81.4","924","197","19","0.0","1","3","1","1","0","49","10","0","7","2","2","0","0","0","0","39","10","10","33","17","0","9","0","0","0","1","2","1.33","2","0","0","0","0","0","0.00","2","0","1","1","0","0","1","0","5","6","5","0","82","8","0","2","1","52","0","2","0","50","45","90.0","0","68","75.0","0","0","2.00","0","1","-1","-0.67","0.8","2.0","-1.2","-0.80","0","2","0","0","0","8","2","3"
"Aaron Lennon","eng ENG","MF","Burnley","eng Premier League","34","1987","1","0","28","0.3","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","4","4","100.0","58","40","2","0.0","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","3","1","0","2","2","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","2","1","1","1","0","0","5","0","1","2","0","0","9","0","0","0","0","5","0","1","0","8","4","50.0","0","28","10.4","1","0","1.00","0","1","-1","-3.21","0.1","0.9","-0.8","-2.66","0","1","0","0","0","2","0","1"
"Aaron Ramsey","wls WAL","MF","Juventus","it Serie A","30","1990","1","1","58","0.6","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.07","0","0","0.00","0.00","0","0.0","0.0","44","47","93.6","881","218","18","0.0","1","3","0","0","2","44","3","0","3","2","0","0","0","0","0","40","4","3","27","19","1","0","0","0","0","0","1","1.55","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","2","0","0","48","1","1","0","0","34","0","1","0","44","43","97.7","1","58","32.2","0","0","1.00","2","1","+1","+1.55","0.5","1.1","-0.6","-0.95","0","1","0","0","0","1","0","0"
"Aaron Wan-Bissaka","eng ENG","DF","Manchester Utd","eng Premier League","23","1997","3","3","270","3.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.1","0.1","0.03","0","0","0.00","0.00","0","0.0","0.0","149","166","89.8","2455","764","72","-0.1","2","10","2","2","9","139","27","0","18","3","4","0","0","0","0","124","30","12","8","131","3","24","0","0","5","2","3","1.00","3","0","0","0","0","0","0.00","3","1","0","2","1","2","5","1","3","5","7","0","192","4","2","4","1","130","0","1","5","142","123","86.6","4","90","100.0","0","0","2.33","7","2","+5","+1.67","3.6","3.2","+0.3","+0.11","0","2","0","0","0","25","0","4"
"AarÃ³n Escandell","es ESP","GK","Granada","es La Liga","25","1995","3","3","270","3.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","69","121","57.0","2731","2033","13","0.0","0","2","0","0","0","69","52","0","5","5","0","0","0","0","0","30","6","85","12","83","1","0","13","0","2","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","1","0","131","113","0","0","0","43","0","0","0","36","36","100.0","0","90","100.0","0","0","0.67","1","5","-4","-1.33","1.7","5.1","-3.4","-1.14","0","0","0","0","0","21","0","0"
"AarÃ³n MartÃ­n","es ESP","DF","Mainz 05","de Bundesliga","24","1997","3","2","182","2.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.4","0.4","0.21","3","0","1.48","0.00","0","0.0","0.0","70","97","72.2","1333","621","28","-0.4","4","7","2","2","6","64","33","1","2","4","11","6","3","2","0","44","20","33","69","7","1","20","0","1","3","2","4","1.98","2","2","0","0","0","0","0.00","0","0","0","0","0","1","6","0","4","2","7","0","116","4","1","4","0","56","0","3","1","69","55","79.7","3","61","67.4","1","0","2.00","2","2","0","0.00","2.6","2.0","+0.5","+0.27","0","2","0","0","0","14","1","3"
"Abdel Jalil Medioub","dz ALG","DF","Bordeaux","fr Ligue 1","24","1997","1","0","29","0.3","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","5","11","45.5","119","21","0","0.0","0","0","0","0","0","10","1","0","1","0","0","0","0","0","0","5","0","6","1","6","2","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","1","0","15","3","0","0","0","4","0","1","0","8","8","100.0","0","29","8.1","1","3","0.00","0","2","-2","-6.21","0.1","1.7","-1.7","-5.18","0","0","0","0","0","3","2","0"
"Abdou Diallo","sn SEN","DF","Paris S-G","fr Ligue 1","25","1996","4","4","344","3.8","0","1","0","0","0","1","0","0.26","0.26","0.1","0.1","0.4","0.5","0.12","1","1","0.26","0.26","0","-0.1","-0.1","270","299","90.3","4773","1553","124","+0.6","3","18","6","2","29","263","36","0","27","6","6","0","0","0","0","231","42","26","228","31","6","30","0","0","7","3","4","1.05","4","0","0","0","0","1","0.26","10","8","4","3","3","5","14","0","8","16","9","1","345","19","4","6","0","248","2","4","8","255","248","97.3","6","86","95.6","0","0","3.00","12","5","+7","+1.83","6.2","3.1","+3.1","+0.81","0","5","0","0","0","23","5","1"
"Abdoulaye DoucourÃ©","fr FRA","MF","Everton","eng Premier League","28","1993","3","3","270","3.0","1","1","1","0","0","2","0","0.67","0.67","0.4","0.4","0.2","0.6","0.20","7","3","2.33","1.00","0","+0.6","+0.6","104","123","84.6","1977","509","40","+0.8","2","14","2","0","16","122","1","0","39","0","0","0","0","0","0","94","14","15","15","101","5","0","0","0","6","3","10","3.33","9","0","0","0","0","1","0.33","5","2","2","3","0","5","18","0","0","6","8","0","148","9","4","4","0","98","2","0","2","105","86","81.9","6","90","100.0","0","0","2.33","7","3","+4","+1.33","6.1","3.2","+2.9","+0.97","0","6","0","0","0","43","4","3"
"Abdul Majeed Waris","gh GHA","MF,DF","Strasbourg","fr Ligue 1","29","1991","3","1","133","1.5","0","0","0","0","0","1","0","0.00","0.00","0.4","0.4","0.1","0.6","0.37","5","1","3.38","0.68","0","-0.4","-0.4","46","58","79.3","632","181","30","-0.1","2","3","3","1","6","55","3","0","8","1","3","0","0","0","0","43","10","5","1","52","0","3","1","1","2","2","3","2.03","3","0","0","0","0","0","0.00","4","3","2","2","0","2","7","0","1","6","1","0","89","1","6","1","0","66","1","2","2","80","65","81.3","12","44","36.9","2","1","0.33","1","3","-2","-1.35","1.6","2.0","-0.4","-0.30","0","1","0","0","0","11","2","1"
"AbdÃ³n Prats","es ESP","FW","Mallorca","es La Liga","28","1992","2","1","68","0.8","0","0","0","0","0","0","0","0.00","0.00","0.2","0.2","0.0","0.2","0.24","2","0","2.65","0.00","1","-0.2","-0.2","10","16","62.5","132","41","7","0.0","0","1","0","0","1","15","1","0","7","1","1","0","0","0","0","6","5","5","5","4","1","0","2","0","0","0","3","3.97","1","0","0","1","1","0","0.00","1","1","0","0","1","0","3","0","0","1","0","0","26","0","4","0","0","12","0","2","2","35","20","57.1","3","34","25.2","1","1","3.00","0","0","0","0.00","0.4","0.4","0.0","+0.05","0","0","0","0","0","1","4","2"
"Achraf Hakimi","ma MAR","DF","Paris S-G","fr Ligue 1","22","1998","4","4","360","4.0","1","2","1","0","0","1","0","0.75","0.75","0.4","0.4","1.1","1.5","0.38","5","3","1.25","0.75","0","+0.6","+0.6","281","317","88.6","4429","1384","162","+0.9","8","11","11","8","17","278","39","0","41","2","14","1","0","0","0","234","59","24","36","237","6","34","1","0","10","8","14","3.50","12","1","1","0","0","3","0.75","4","1","4","0","0","2","8","0","5","11","5","0","358","6","13","6","0","256","1","2","8","296","277","93.6","17","90","100.0","0","0","3.00","12","5","+7","+1.75","6.2","3.1","+3.1","+0.76","0","5","0","0","0","16","4","2"
"Adam Armstrong","eng ENG","FW","Southampton","eng Premier League","24","1997","3","3","270","3.0","1","0","1","0","0","0","0","0.33","0.33","1.1","1.1","0.4","1.5","0.52","10","3","3.33","1.00","0","-0.1","-0.1","39","57","68.4","616","115","21","-0.4","2","3","2","0","5","53","4","1","13","1","5","0","0","0","0","40","11","6","6","44","3","1","2","0","2","1","5","1.67","3","0","0","1","0","1","0.33","4","3","1","0","3","1","22","0","1","4","0","0","87","0","16","3","0","65","4","4","6","129","64","49.6","13","90","100.0","0","0","0.67","4","6","-2","-0.67","5.1","5.3","-0.2","-0.07","0","1","1","0","0","14","1","10"
"Adam Idah","ie IRL","FW","Norwich City","eng Premier League","20","2001","2","0","26","0.3","0","0","0","0","0","0","0","0.00","0.00","0.5","0.5","0.0","0.5","1.84","2","1","6.92","3.46","0","-0.5","-0.5","7","9","77.8","99","10","2","0.0","0","0","0","0","0","8","1","0","2","0","0","0","0","0","0","7","1","1","1","7","0","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","1","1","0","0","0","0","0","12","0","2","0","0","7","0","0","0","17","9","52.9","2","13","9.6","2","1","0.00","0","0","0","0.00","1.2","0.1","+1.1","+3.90","0","0","0","0","0","2","0","0"
"Adam Lallana","eng ENG","MF","Brighton","eng Premier League","33","1988","3","2","182","2.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","124","141","87.9","1987","255","67","0.0","0","5","1","0","5","139","2","0","29","2","1","0","0","0","0","121","8","12","37","100","1","0","0","0","2","2","3","1.48","2","0","0","1","0","0","0.00","1","0","0","0","1","6","4","0","1","3","4","0","152","4","3","2","0","114","0","1","3","133","125","94.0","4","61","67.4","1","0","2.00","4","2","+2","+0.99","3.1","2.1","+1.0","+0.51","0","1","0","0","0","18","3","4"
"Adam MaruÅ¡iÄ","me MNE","DF","Lazio","it Serie A","28","1992","1","0","66","0.7","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","30","31","96.8","539","155","11","0.0","0","0","0","0","0","29","2","0","0","1","0","0","0","0","0","27","3","1","2","26","1","2","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","2","1","0","2","0","2","0","0","0","2","1","0","36","1","0","0","0","28","0","1","1","28","26","92.9","2","66","36.7","1","1","3.00","4","0","+4","+5.45","2.8","0.1","+2.7","+3.69","0","1","0","0","0","4","0","0"
"Adam Masina","ma MAR","DF","Watford","eng Premier League","27","1994","3","3","270","3.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","121","162","74.7","2825","1255","24","0.0","0","9","1","0","13","135","27","0","13","9","4","2","1","1","0","69","32","61","106","18","9","22","0","0","7","3","0","0.00","0","0","0","0","0","0","0.00","5","2","4","1","0","3","6","0","2","9","14","0","188","21","0","2","0","109","0","1","1","113","110","97.3","1","90","100.0","0","0","1.00","3","5","-2","-0.67","2.6","3.5","-0.9","-0.30","0","3","0","1","0","19","10","3"
"Adam Ounas","dz ALG","FW","Napoli","it Serie A","24","1996","1","0","21","0.2","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","8","9","88.9","190","58","4","0.0","0","1","1","0","1","9","0","1","3","3","1","0","0","0","0","5","2","2","9","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","12","0","1","3","1","16","0","1","1","16","12","75.0","2","21","11.7","1","1","3.00","1","0","+1","+4.29","0.2","0.0","+0.2","+0.85","0","0","0","0","0","0","0","0"
"Adam Webster","eng ENG","DF","Brighton","eng Premier League","26","1995","3","3","270","3.0","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.0","0.01","1","0","0.33","0.00","0","0.0","0.0","234","271","86.3","4495","1757","85","0.0","0","16","0","0","22","258","13","0","34","9","2","0","0","0","0","219","16","36","53","196","6","10","0","0","6","4","2","0.67","2","0","0","0","0","1","0.33","12","4","9","2","1","2","12","0","4","17","12","0","309","12","2","1","0","209","1","1","1","231","226","97.8","2","90","100.0","0","0","2.00","4","3","+1","+0.33","3.7","3.5","+0.2","+0.06","0","2","0","0","0","29","9","2"
"Adama Soumaoro","fr FRA","DF","Bologna","it Serie A","29","1992","1","0","10","0.1","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","3","3","100.0","49","9","1","0.0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","1","0","1","0","0","0","4","0","0","0","0","1","0","0","0","1","1","100.0","0","10","5.6","1","1","1.00","0","0","0","0.00","0.0","0.1","0.0","-0.29","0","0","0","0","0","1","1","0"
"Adama TraorÃ©","es ESP","FW","Wolves","eng Premier League","25","1996","3","3","266","3.0","0","0","0","0","0","0","0","0.00","0.00","1.2","1.2","0.7","1.9","0.63","12","3","4.06","1.02","0","-1.2","-1.2","69","88","78.4","1232","220","36","-0.7","9","7","4","2","7","88","0","0","24","3","11","0","0","0","0","62","13","13","14","66","0","0","3","0","1","6","25","8.46","14","0","7","1","3","0","0.00","4","2","1","0","3","2","11","0","0","9","1","0","138","0","26","22","0","140","12","10","8","138","104","75.4","26","89","98.5","0","0","0.00","0","3","-3","-1.02","4.3","2.9","+1.4","+0.46","0","0","0","0","0","21","6","2"
"Adil Aouchiche","fr FRA","FW,MF","Saint-Ãtienne","fr Ligue 1","19","2002","4","2","151","1.7","0","1","0","0","0","1","0","0.60","0.60","0.3","0.3","0.2","0.5","0.27","3","2","1.79","1.19","0","-0.3","-0.3","72","95","75.8","1292","373","41","+0.8","2","7","1","0","5","86","9","0","25","9","0","6","2","4","0","71","4","20","15","75","2","0","0","0","6","1","5","2.98","3","1","1","0","0","2","1.19","1","1","0","0","1","0","15","0","2","2","0","0","111","1","3","2","0","71","0","4","2","102","81","79.4","8","38","41.9","2","0","0.75","2","3","-1","-0.60","1.3","3.0","-1.6","-0.97","0","1","0","0","0","13","3","2"
"Admir Mehmedi","ch SUI","MF","Wolfsburg","de Bundesliga","30","1991","1","0","4","0.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","4","6","66.7","62","20","2","0.0","0","1","0","0","1","6","0","0","1","0","0","0","0","0","0","4","1","1","1","4","1","0","0","0","0","1","1","22.50","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","5","0","0","0","6","3","50.0","1","4","1.5","1","2","3.00","0","0","0","0.00","0.2","0.1","+0.1","+2.49","0","0","0","0","0","2","0","0"
"Adnan Januzaj","be BEL","FW,MF","Real Sociedad","es La Liga","26","1995","3","1","68","0.8","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.5","0.5","0.63","0","0","0.00","0.00","0","0.0","0.0","13","19","68.4","249","118","4","-0.5","3","1","2","0","5","16","3","0","7","0","0","3","0","2","0","12","3","4","15","3","0","0","0","0","2","1","4","5.29","4","0","0","0","0","0","0.00","1","1","1","0","0","3","2","0","0","2","1","0","30","2","1","2","0","18","0","4","0","31","20","64.5","3","23","25.2","2","0","2.00","0","2","-2","-2.65","1.1","1.2","-0.1","-0.14","0","0","0","0","0","4","1","3"
"Adri Embarba","es ESP","MF","Espanyol","es La Liga","29","1992","3","3","233","2.6","0","0","0","0","0","0","0","0.00","0.00","0.8","0.8","0.3","1.0","0.40","8","2","3.09","0.77","4","-0.8","-0.8","38","76","50.0","807","286","15","-0.3","5","2","2","0","4","57","19","0","7","6","7","16","5","8","0","31","11","34","14","56","3","0","1","1","5","5","8","3.09","3","3","0","1","0","0","0.00","3","3","1","0","2","4","9","0","4","5","1","0","107","2","7","4","0","56","3","5","7","63","48","76.2","4","78","86.3","0","0","0.67","0","1","-1","-0.39","2.7","2.2","+0.4","+0.17","0","0","0","0","0","24","2","1"
"Adrian Fein","de GER","MF","Greuther FÃ¼rth","de Bundesliga","22","1999","1","0","21","0.2","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.13","0","0","0.00","0.00","0","0.0","0.0","2","4","50.0","37","0","1","0.0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","2","0","4","0","0","0","0","0","0","1","4.29","1","0","0","0","0","0","0.00","0","0","0","0","0","0","1","0","1","1","0","0","6","0","1","0","0","5","0","0","1","4","4","100.0","1","21","7.8","1","2","0.00","1","1","0","0.00","0.5","1.3","-0.8","-3.47","0","0","0","0","0","0","0","0"
"Adrian GrbiÄ","at AUT","FW,MF","Lorient","fr Ligue 1","25","1996","4","0","60","0.7","0","0","0","0","0","0","0","0.00","0.00","0.3","0.3","0.0","0.3","0.51","4","2","6.00","3.00","1","-0.3","-0.3","12","16","75.0","190","48","4","0.0","0","0","0","0","0","15","1","0","5","2","0","0","0","0","0","11","2","3","2","11","2","0","1","0","0","2","2","3.00","1","0","1","0","0","0","0.00","1","1","0","1","0","0","2","0","0","3","2","0","30","2","3","1","0","17","0","2","3","35","20","57.1","3","15","16.7","4","0","1.25","0","1","-1","-1.50","0.9","0.9","0.0","+0.02","0","2","0","0","0","3","1","3"
"Adrien Rabiot","fr FRA","MF","Juventus","it Serie A","26","1995","1","1","54","0.6","0","0","0","0","0","0","0","0.00","0.00","0.1","0.1","0.0","0.1","0.12","1","0","1.67","0.00","0","-0.1","-0.1","18","24","75.0","331","107","6","0.0","0","3","0","0","2","23","1","0","2","0","2","0","0","0","0","16","3","5","16","5","2","1","0","0","0","1","0","0.00","0","0","0","0","0","0","0.00","1","0","0","1","0","0","5","0","0","1","1","0","30","2","1","0","0","20","0","1","1","27","25","92.6","1","54","30.0","0","0","0.00","0","1","-1","-1.67","0.7","0.8","-0.1","-0.18","0","1","0","0","0","2","1","0"
"Adrien Silva","pt POR","MF","Sampdoria","it Serie A","32","1989","2","0","11","0.1","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","6","8","75.0","161","76","2","0.0","0","1","0","0","0","6","2","0","1","1","0","0","0","0","0","5","1","2","1","7","0","0","0","0","0","1","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","2","0","1","1","1","0","14","0","0","0","0","5","0","0","0","5","5","100.0","0","6","6.1","2","0","0.50","0","0","0","0.00","0.5","0.1","+0.4","+3.28","0","0","0","0","0","2","1","0"
"Adrien Tameze","cm CMR","MF","Hellas Verona","it Serie A","27","1994","2","0","53","0.6","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","14","20","70.0","154","44","11","0.0","0","3","0","0","2","19","1","0","4","1","0","0","0","0","0","14","2","4","3","14","0","0","0","0","1","3","0","0.00","0","0","0","0","0","0","0.00","1","1","0","0","1","0","3","0","1","3","1","0","27","0","1","1","0","19","0","1","0","16","16","100.0","1","27","29.4","2","0","0.00","2","3","-1","-1.70","1.1","1.0","+0.1","+0.18","0","1","0","0","0","3","3","0"
"Adrien Thomasson","fr FRA","MF","Strasbourg","fr Ligue 1","27","1993","4","3","319","3.5","2","1","2","0","0","0","0","0.85","0.85","1.8","1.8","0.5","2.3","0.64","6","3","1.69","0.85","0","+0.2","+0.2","153","194","78.9","2815","772","65","+0.5","4","22","9","4","25","182","12","1","41","3","11","0","0","0","0","143","28","23","36","145","4","8","0","0","8","8","11","3.10","8","0","1","0","0","2","0.56","12","6","3","4","5","8","22","0","6","16","1","0","245","2","25","9","0","169","2","7","6","210","174","82.9","24","80","88.6","1","0","1.00","6","5","+1","+0.28","4.7","4.5","+0.2","+0.05","0","4","0","0","0","30","1","1"
"Aihen MuÃ±oz","es ESP","DF","Real Sociedad","es La Liga","24","1997","3","3","267","3.0","0","0","0","0","0","1","0","0.00","0.00","0.1","0.1","0.0","0.1","0.04","3","0","1.01","0.00","0","-0.1","-0.1","129","167","77.2","2416","939","47","0.0","1","6","3","1","11","129","38","0","22","2","11","0","0","0","0","110","27","30","115","15","3","29","0","0","9","8","4","1.35","2","0","0","1","0","1","0.34","7","5","4","2","1","1","11","0","2","13","7","1","196","9","4","3","0","121","1","2","3","119","113","95.0","9","89","98.9","0","0","2.00","4","4","0","0.00","3.8","3.4","+0.4","+0.14","0","5","0","0","0","22","8","3"
"Ainsley Maitland-Niles","eng ENG","MF","Arsenal","eng Premier League","24","1997","1","0","20","0.2","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","2","3","66.7","33","14","0","0.0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","1","1","0","1","2","0","0","0","1","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","1","0","3","3","100.0","0","20","7.4","1","2","0.00","0","1","-1","-4.50","0.0","1.5","-1.5","-6.69","0","0","0","0","0","2","0","0"
"Aitor FernÃ¡ndez","es ESP","GK","Levante","es La Liga","30","1991","2","2","176","2.0","0","0","0","0","0","0","1","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","41","58","70.7","1429","1086","6","0.0","0","0","0","0","0","31","27","0","4","4","0","0","0","0","0","24","2","32","3","50","0","0","4","0","1","0","0","0.00","0","0","0","0","0","0","0.00","1","1","0","1","0","0","0","0","0","1","0","1","63","54","0","0","0","19","0","0","0","21","21","100.0","0","88","65.2","0","0","1.00","4","4","0","0.00","3.0","1.6","+1.3","+0.69","0","1","0","0","0","9","0","0"
"Aitor Ruibal","es ESP","FW,DF","Betis","es La Liga","25","1996","3","2","145","1.6","0","0","0","0","0","2","0","0.00","0.00","0.0","0.0","0.0","0.0","0.03","1","1","0.62","0.62","0","0.0","0.0","43","52","82.7","674","189","25","0.0","1","4","2","0","6","50","2","0","9","0","3","0","0","0","0","42","6","4","4","46","0","2","0","0","1","2","3","1.86","3","0","0","0","0","0","0.00","6","4","3","1","2","6","8","0","2","7","0","0","73","1","7","4","0","54","2","3","1","78","53","67.9","10","48","53.7","1","0","0.67","0","2","-2","-1.24","0.9","1.4","-0.4","-0.28","0","8","0","0","0","9","0","1"
"Ajdin Hrustic","au AUS","MF","Eint Frankfurt","de Bundesliga","25","1996","3","2","191","2.1","0","0","0","0","0","1","0","0.00","0.00","0.1","0.1","0.4","0.5","0.23","5","1","2.36","0.47","0","-0.1","-0.1","139","167","83.2","2693","925","54","-0.4","2","10","2","0","14","156","11","1","24","6","2","7","2","4","0","131","17","19","145","18","2","0","0","0","6","5","6","2.83","2","3","0","0","0","0","0.00","4","4","0","2","2","3","9","0","8","8","3","0","200","9","2","1","0","143","0","3","1","144","138","95.8","3","64","70.7","1","0","0.67","2","2","0","0.00","4.1","1.3","+2.9","+1.35","0","3","0","0","0","25","3","5"
"Akim Zedadka","fr FRA","DF","Clermont Foot","fr Ligue 1","26","1995","4","4","360","4.0","0","0","0","0","0","0","0","0.00","0.00","0.1","0.1","0.2","0.3","0.08","3","2","0.75","0.50","0","-0.1","-0.1","194","224","86.6","3446","1029","93","-0.2","4","12","7","4","16","189","35","0","28","6","12","0","0","0","0","144","43","37","20","167","4","31","0","1","8","3","10","2.50","10","0","0","0","0","1","0.25","13","6","4","9","0","3","13","0","5","21","3","0","273","8","6","3","0","186","2","4","4","196","179","91.3","11","90","100.0","0","0","2.00","9","5","+4","+1.00","8.7","6.6","+2.1","+0.52","0","3","0","0","0","25","3","7"
"Alassane PlÃ©a","fr FRA","FW","M'Gladbach","de Bundesliga","28","1993","3","3","196","2.2","1","0","1","0","0","0","0","0.46","0.46","0.4","0.4","0.2","0.6","0.25","3","2","1.38","0.92","0","+0.6","+0.6","54","76","71.1","890","235","29","-0.2","3","7","2","1","6","70","6","1","29","1","2","0","0","0","0","56","13","7","6","63","1","1","1","0","5","3","9","4.13","7","0","0","2","0","0","0.00","1","0","1","0","0","4","8","0","0","2","2","0","100","4","6","0","0","60","2","7","3","98","75","76.5","19","65","72.6","0","0","0.33","1","6","-5","-2.30","2.7","5.6","-2.9","-1.35","0","0","0","0","0","11","6","3"
"Alban Lafont","fr FRA","GK","Nantes","fr Ligue 1","22","1999","4","4","360","4.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","48","103","46.6","1756","1290","5","0.0","0","3","0","0","0","57","46","0","2","2","0","0","0","0","0","32","2","69","2","90","0","0","8","0","1","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","0","0","118","101","0","0","0","39","0","0","0","39","38","97.4","0","90","100.0","0","0","1.00","3","3","0","0.00","3.5","5.8","-2.3","-0.58","0","0","0","0","0","11","0","0"
"Albert Sambi Lokonga","be BEL","MF","Arsenal","eng Premier League","21","1999","2","2","180","2.0","0","0","0","0","0","1","0","0.00","0.00","0.1","0.1","0.1","0.1","0.06","3","1","1.50","0.50","0","-0.1","-0.1","97","112","86.6","1853","559","40","-0.1","2","9","4","0","9","108","4","0","20","2","1","0","0","0","0","82","11","19","23","83","5","0","1","0","1","1","4","2.00","4","0","0","0","0","0","0.00","3","2","0","1","2","1","3","0","1","10","2","0","130","7","0","1","0","100","0","2","1","103","100","97.1","1","90","66.7","0","1","0.00","0","4","-4","-2.00","1.8","4.2","-2.4","-1.20","0","3","0","0","0","11","0","2"
