"Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","90s","Gls","Ast","G-PK","PK","PKatt","CrdY","CrdR","G+A","G+A-PK","xG","npxG","xA","npxG+xA","xG+xA","Sh","SoT","Sh/90","SoT/90","FK","G-xG","np:G-xG","Cmp","Att","Cmp%","TotDist","PrgDist","Cmp.1","A-xA","KP","1/3","PPA","CrsPA","Prog","Live","Dead","TB","Press","Sw","Crs","CK","In","Out","Str","Ground","Low","High","Left","Right","Head","TI","Other","Off","Int","Blocks","SCA","SCA90","PassLive","PassDead","Drib","Fld","Def","GCA","GCA90","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Past","Succ","ShSv","Pass","Tkl+Int","Clr","Err","Touches","Def Pen","Att Pen","#Pl","Megs","Carries","CPA","Mis","Dis","Targ","Rec","Rec%","Prog.1","Mn/MP","Min%","Subs","unSub","PPM","onG","onGA","+/-","+/-90","onxG","onxGA","xG+/-","xG+/-90","2CrdY","Fls","PKwon","PKcon","OG","Recov","Won","Lost"
"Julien Ngoy","be BEL","MF","Stoke City","eng Premier League","19","1997","1","0","20","0.2","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","4","5","80.0","76","0","1","0.0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","1","0","0","0.00","0","0","0","0","0","0","0.00","1","0","0","1","0","1","0","0","0","1","0","0","6","0","0","0","0","4","0","0","0","7","5","71.4","2","20","0.6","1","2","0.00","0","2","-2","-9.00","0.0","0.9","-0.9","-4.27","0","0","0","0","0","0","0","0"
"Julio Gracia","es ESP","FW,MF","Betis","es La Liga","19","1998","2","0","24","0.3","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.14","1","0","3.75","0.00","0","0.0","0.0","17","21","81.0","251","57","10","0.0","0","0","0","0","0","21","0","0","7","0","0","0","0","0","0","18","1","2","2","18","1","0","0","0","1","2","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","1","1","0","0","1","0","0","23","0","1","0","0","17","1","0","1","18","14","77.8","0","12","0.7","2","4","0.00","0","1","-1","-3.75","0.1","0.0","+0.1","+0.36","0","0","0","0","0","4","0","1"
"Julio Villalba","py PAR","MF,DF","M'Gladbach","de Bundesliga","18","1998","1","0","8","0.1","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","4","6","66.7","72","5","1","0.0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","5","0","1","1","5","0","0","0","0","0","2","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","3","0","0","0","0","0","7","0","1","0","0","6","0","0","0","6","5","83.3","0","8","0.3","1","6","0.00","0","0","0","0.00","0.0","0.0","0.0","+0.27","0","1","0","0","0","1","0","1"
"J̩r̩mie Porsan-Cl̩ment̩","fr FRA","MF","Montpellier","fr Ligue 1","19","1997","1","1","89","1.0","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.1","0.07","1","0","1.01","0.00","0","0.0","0.0","21","38","55.3","359","134","12","0.0","1","1","0","0","1","28","10","0","10","2","4","0","0","0","0","18","10","10","2","23","2","10","0","0","1","2","1","1.01","1","0","0","0","0","0","0.00","1","1","1","0","0","0","2","0","2","2","1","0","53","0","3","0","0","25","0","4","2","25","22","88.0","4","89","2.6","0","5","1.00","1","1","0","0.00","0.6","0.7","-0.1","-0.12","0","1","0","0","0","10","1","0"
"J̩r̩my Blayac","fr FRA","FW,MF","Strasbourg","fr Ligue 1","34","1983","25","7","916","10.2","3","1","3","0","0","2","0","0.39","0.39","4.7","4.7","1.5","6.2","0.61","33","9","3.24","0.88","0","-1.7","-1.7","228","360","63.3","3311","738","130","-0.5","16","17","7","1","25","351","9","0","103","0","9","0","0","0","0","223","55","82","46","204","64","1","7","3","10","23","34","3.34","27","0","0","5","0","3","0.29","3","3","0","1","2","7","38","0","9","5","8","0","487","10","84","6","0","293","3","36","13","580","393","67.8","181","37","26.8","18","12","0.84","12","15","-3","-0.29","16.3","12.2","+4.1","+0.40","0","11","1","0","0","37","42","27"
"J̩r̩my Cordoval","gp GLP","DF","Troyes","fr Ligue 1","27","1990","11","10","919","10.2","0","1","0","0","0","1","0","0.10","0.10","0.0","0.0","0.5","0.5","0.05","1","0","0.10","0.00","0","0.0","0.0","317","412","76.9","4822","2486","172","+0.5","3","24","7","4","25","315","97","0","83","6","15","0","0","0","0","226","70","116","40","254","21","96","0","0","6","15","8","0.78","7","0","0","0","1","1","0.10","26","16","16","7","3","7","58","0","16","39","21","0","497","36","6","8","1","268","4","5","5","236","218","92.4","8","84","26.9","1","14","1.00","10","21","-11","-1.08","8.9","16.8","-7.9","-0.77","0","6","0","0","0","86","1","4"
"J̩r̩my Toulalan","fr FRA","DF","Bordeaux","fr Ligue 1","33","1983","21","21","1890","21.0","0","0","0","0","0","3","0","0.00","0.00","0.1","0.1","0.0","0.1","0.00","1","0","0.05","0.00","0","-0.1","-0.1","848","1031","82.3","19563","8402","220","0.0","2","97","4","0","80","1013","18","3","85","36","2","0","0","0","0","734","57","240","140","803","76","0","4","4","16","9","13","0.62","11","0","1","1","0","0","0.00","42","35","35","6","1","23","41","0","22","66","93","1","1231","159","2","5","0","786","0","3","5","725","717","98.9","1","90","55.3","0","0","1.10","23","31","-8","-0.38","27.0","22.1","+4.9","+0.23","0","21","0","1","1","232","9","3"
"J̩r̫me Prior","fr FRA","GK","Bordeaux","fr Ligue 1","21","1995","2","2","180","2.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","14","25","56.0","465","346","2","0.0","0","0","0","0","0","20","5","0","0","0","0","0","0","0","0","9","0","16","21","2","0","0","2","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","1","37","35","0","0","0","22","0","0","0","18","18","100.0","0","90","5.3","0","27","0.00","0","3","-3","-1.50","1.5","2.8","-1.3","-0.65","0","0","0","0","0","5","0","0"
"Kader Mangane","sn SEN","DF","Strasbourg","fr Ligue 1","34","1983","20","20","1718","19.1","1","0","1","0","0","4","0","0.05","0.05","1.9","1.9","0.2","2.0","0.11","15","3","0.79","0.16","0","-0.9","-0.9","504","704","71.6","12630","5582","87","-0.2","2","49","8","3","35","690","14","0","62","31","4","0","0","0","0","405","37","262","42","561","87","1","2","2","9","6","9","0.47","7","1","0","0","0","0","0.00","40","23","32","8","0","16","44","1","21","63","74","2","897","125","31","4","0","460","0","3","1","469","452","96.4","24","86","50.2","0","5","1.20","20","30","-10","-0.52","21.7","25.9","-4.2","-0.22","0","22","0","0","0","214","15","11"
"Karamoko Ciss̩","gn GUI","FW,DF","Benevento","it Serie A","28","1988","2","0","14","0.2","0","0","0","0","0","0","0","0.00","0.00","0.3","0.3","0.0","0.3","2.21","1","0","6.43","0.00","0","-0.3","-0.3","3","6","50.0","87","29","1","0.0","0","0","2","1","1","6","0","0","0","0","2","0","0","0","0","5","0","1","2","4","0","0","0","0","1","1","2","13.85","1","0","0","0","0","0","0.00","1","0","1","0","0","0","0","0","0","1","0","0","8","0","4","0","0","6","2","0","0","10","7","70.0","2","7","0.4","2","0","0.00","0","0","0","0.00","1.1","0.1","+0.9","+6.28","0","0","0","0","0","0","0","1"
